Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
CNN,4,TIR,gMAD,-1.53,0.63,0.87,0,0.02,-0.9,5.78,416.43,3.07,0.02
CNN,4,TAR_1,gMAD,-2.48,1.6,0.57,-0.24,0.56,-0.88,4.97,457.19,3.12,0.01
CNN,4,TAR_2,gMAD,9.28,-7.41,0.26,-2.24,0.11,1.87,-7.49,-946.66,-8.78,-0.02
LSTM,2,ENTIRE,gMAD,-1.44,2.1,0.01,-0.67,0.01,0.66,-0.34,-16.73,0.02,0.01
LSTM,2,TBR_2,gMAD,7.92,0,0,-7.92,0.01,7.92,-5.51,-124.99,-5.31,-0.12
LSTM,2,TBR_1,gMAD,14.94,0,0,-14.94,0,14.94,-2.26,-54.31,-1.73,-0.03
LSTM,2,TIR,gMAD,-4.69,4.68,0,0,0,-0.01,2.44,96.35,2.15,0.02
LSTM,2,TAR_1,gMAD,1.03,-1,0,-0.05,0.02,0.03,-1.27,-72.99,-1.75,-0.01
LSTM,2,TAR_2,gMAD,4.33,-4.18,0,-0.17,0,0.15,-6.12,-473.44,-6.49,-0.02
LSTM,4,ENTIRE,gMAD,1.38,1.25,0.21,-3.02,0.19,2.63,0.75,57.65,0.05,0
LSTM,4,TBR_2,gMAD,66.15,0,0,-66.26,0.11,66.15,-14.14,-929.01,-21.07,-0.44
LSTM,4,TBR_1,gMAD,57.11,0,0,-57.32,0.22,57.11,-8.81,-559.27,-14.4,-0.24
LSTM,4,TIR,gMAD,-4.95,4.62,0.3,0,0.02,-0.33,5.07,297.5,3.39,0.02
LSTM,4,TAR_1,gMAD,0.84,-1.47,0.09,-0.17,0.69,-0.63,1.57,138.6,-0.33,0
LSTM,4,TAR_2,gMAD,11.83,-10.34,0.04,-1.58,0.06,1.49,-8.82,-1089.44,-10.28,-0.03
Linear,2,ENTIRE,gMAD,-0.35,0.87,0.02,-0.54,0,0.52,0.78,31.83,0.17,0
Linear,2,TBR_2,gMAD,2.95,0,0,-2.95,0,2.95,-2.23,-56.04,-3.86,-0.08
Linear,2,TBR_1,gMAD,13.42,0,0,-13.43,0,13.42,-1.75,-51.91,-2.63,-0.05
Linear,2,TIR,gMAD,-1.04,1.02,0.01,0,0,-0.02,1.17,44.69,0.43,0
Linear,2,TAR_1,gMAD,-1.06,1.03,0.02,0,0,-0.03,1.28,57.15,0.87,0.01
Linear,2,TAR_2,gMAD,-0.12,0.13,0.01,-0.02,0,0.01,-1.06,-53,-1.37,0
Linear,4,ENTIRE,gMAD,1.75,-0.19,0.48,-2.18,0.13,1.56,2.11,159.26,0.48,0
Linear,4,TBR_2,gMAD,49.82,0,0,-49.95,0.13,49.82,-7.52,-505.07,-13.29,-0.28
Linear,4,TBR_1,gMAD,42.22,0,0,-42.43,0.21,42.22,-5.26,-381.62,-9.83,-0.16
Linear,4,TIR,gMAD,-0.12,-0.44,0.55,0,0.02,-0.56,3.88,260.07,1.78,0.01
Linear,4,TAR_1,gMAD,-3.63,2.69,0.51,-0.04,0.47,-0.94,4.68,378.42,3.03,0.02
Linear,4,TAR_2,gMAD,5.27,-4.92,0.27,-0.66,0.04,0.35,-5.77,-591.7,-7.03,-0.02
CNN,2,ENTIRE,gMSE,0.04,1.09,0.1,-1.24,0.02,1.13,0.64,36.67,0.34,0
CNN,2,TBR_2,gMSE,26.85,0,0,-26.9,0.04,26.85,-5.67,-324.91,-7.48,-0.15
CNN,2,TBR_1,gMSE,23.69,0,0,-23.79,0.09,23.69,-3.13,-173.64,-5.32,-0.09
CNN,2,TIR,gMSE,-2.29,2.17,0.12,0,0,-0.12,2.29,116.78,1.51,0.01
CNN,2,TAR_1,gMSE,-0.2,0.16,0.09,-0.08,0.04,-0.04,0.55,34.72,0.35,0
CNN,2,TAR_2,gMSE,2.73,-2.28,0.04,-0.49,0,0.45,-3.7,-280.8,-3.29,-0.01
CNN,4,ENTIRE,gMSE,-0.95,1.22,0.39,-0.72,0.05,0.27,0.77,65.01,0.62,0.01
CNN,4,TBR_2,gMSE,12.59,0,0,-13.05,0.46,12.59,-4.34,-460.42,-7.31,-0.16
CNN,4,TBR_1,gMSE,6.19,0,0,-6.94,0.75,6.19,-1.27,-126.97,-4.41,-0.07
CNN,4,TIR,gMSE,-4.16,3.61,0.52,0,0.02,-0.55,4.15,292.27,3.03,0.02
CNN,4,TAR_1,gMSE,1.35,-1.39,0.25,-0.25,0.05,-0.04,0.09,7.84,-0.41,-0.01
CNN,4,TAR_2,gMSE,7.72,-5.5,0.1,-2.33,0.01,2.22,-7.18,-909.46,-7.59,-0.02
LSTM,2,ENTIRE,gMSE,0.14,0.33,0.01,-0.48,0,0.47,-1.01,-49.13,-0.79,0
LSTM,2,TBR_2,gMSE,6.12,0,0,-6.13,0,6.12,-3.9,-94.62,-4.24,-0.09
LSTM,2,TBR_1,gMSE,10.17,0,0,-10.17,0,10.17,-2.09,-50.52,-2.02,-0.03
LSTM,2,TIR,gMSE,-1.79,1.78,0,0,0,-0.01,0.91,34.66,0.7,0
LSTM,2,TAR_1,gMSE,1.54,-1.51,0,-0.05,0.01,0.03,-1.79,-101.97,-2.2,-0.01
LSTM,2,TAR_2,gMSE,3.55,-3.38,0,-0.18,0,0.17,-4.78,-376.16,-4.97,-0.02
LSTM,4,ENTIRE,gMSE,2.44,-0.97,0.09,-1.62,0.05,1.47,-0.98,-73.35,-1.2,-0.01
